"Time","CurrEstab","TCP_tw","Sockets_used","UDP_inuse","TCP_alloc","Tcp_InSegs","Tcp_OutSegs","Tcp_RetransSegs"
2025-06-04 23:34:00,204,163,,1,2148,283,305,0
2025-06-04 23:36:00,203,156,,1,2197,284,305,0
2025-06-04 23:38:00,204,175,,1,2244,283,304,0
2025-06-04 23:40:00,203,161,,1,2291,276,297,0
2025-06-04 23:42:00,204,166,,1,2343,281,303,0
2025-06-04 23:44:00,203,165,,1,2388,291,313,0
2025-06-04 23:46:00,207,159,,1,2442,275,295,0
2025-06-04 23:48:00,203,167,,1,2484,276,297,0
2025-06-04 23:50:00,203,163,,1,2534,288,307,0.0667
2025-06-04 23:52:00,204,172,,1,2584,282,302,0
2025-06-04 23:54:00,203,163,,1,2632,280,300,0
2025-06-04 23:56:00,203,165,,1,2677,288,308,0
2025-06-04 23:58:00,204,169,,1,2728,283,303,0
2025-06-05 00:00:00,203,176,751,1,2774,282,303,0
2025-06-05 00:02:00,203,174,,1,2822,290,312,0
2025-06-05 00:04:00,203,167,,1,2871,275,295,0
2025-06-05 00:06:00,203,179,,1,2918,282,302,0
2025-06-05 00:08:00,204,164,,1,2968,289,310,0
2025-06-05 00:10:00,203,170,,1,3014,280,302,0
2025-06-05 00:12:00,203,163,,1,3066,279,300,0
2025-06-05 00:14:00,203,170,,1,3111,285,306,0
2025-06-05 00:16:00,203,168,,1,3159,291,313,0.0667
2025-06-05 00:18:00,204,159,,1,3207,276,298,0
2025-06-05 00:20:00,203,166,,1,3255,285,306,0
2025-06-05 00:22:00,203,170,,1,3307,278,299,0
2025-06-05 00:24:00,203,168,,1,3348,280,301,0
2025-06-05 00:26:00,203,172,,1,3398,289,310,0
2025-06-05 00:28:00,204,171,,1,3444,272,293,0
2025-06-05 00:30:00,204,161,751,1,3492,280,301,0
2025-06-05 00:32:00,203,172,,1,3542,293,314,0
2025-06-05 00:34:00,203,172,,1,3588,277,298,0
2025-06-05 00:36:00,203,169,,1,3636,278,298,0
2025-06-05 00:38:00,203,172,,1,3686,293,314,0
2025-06-05 00:40:00,204,161,,1,3734,281,302,0
2025-06-05 00:42:00,203,179,,1,3782,278,299,0
2025-06-05 00:44:00,203,152,,1,3830,280,301,0
2025-06-05 00:46:00,203,169,,1,3874,275,297,0
2025-06-05 00:48:00,203,163,,1,3922,283,303,0
2025-06-05 00:50:00,204,168,,1,3972,290,311,0
2025-06-05 00:52:00,204,174,,1,4018,284,305,0
2025-06-05 00:54:00,203,166,,1,4068,278,299,0.0667
2025-06-05 00:56:00,203,165,,1,4114,289,309,0
2025-06-05 00:58:00,204,167,,1,4162,280,300,0
2025-06-05 01:00:00,203,172,751,1,4210,279,299,0
2025-06-05 01:02:00,204,160,,1,4262,286,307,0
2025-06-05 01:04:00,204,164,,1,4308,280,301,0
2025-06-05 01:06:00,203,177,,1,4356,281,302,0
2025-06-05 01:08:00,204,164,,1,4402,285,306,0
2025-06-05 01:10:00,204,172,,1,4452,272,292,0
2025-06-05 01:12:00,203,162,,1,4500,284,305,0
2025-06-05 01:14:00,203,176,,1,4547,287,308,0
2025-06-05 01:16:00,203,165,,1,4594,280,301,0
2025-06-05 01:18:00,203,170,,1,4644,271,292,0
2025-06-05 01:20:00,204,157,,1,4691,290,310,0
2025-06-05 01:22:00,204,170,,1,4740,282,302,0
2025-06-05 01:24:00,204,180,,1,4786,277,299,0
2025-06-05 01:26:00,203,169,,1,4836,287,307,0
2025-06-05 01:28:00,204,177,,1,4882,278,299,0
2025-06-05 01:30:00,204,171,751,1,4930,274,295,0
2025-06-05 01:32:00,204,177,,1,4980,286,307,0
2025-06-05 01:34:00,203,166,,1,5026,278,300,0
2025-06-05 01:36:00,203,173,,1,5076,285,306,0
2025-06-05 01:38:00,203,174,,1,5122,288,310,0
2025-06-05 01:40:00,204,167,,1,5172,275,296,0
2025-06-05 01:42:00,204,171,,1,5220,279,300,0
2025-06-05 01:44:00,204,162,,1,5266,286,307,0
2025-06-05 01:46:00,203,169,,1,5314,273,294,0
2025-06-05 01:48:00,203,161,,1,5362,279,300,0
2025-06-05 01:50:00,203,173,,1,5410,295,315,0
2025-06-05 01:52:00,203,157,,1,5460,282,302,0
2025-06-05 01:54:00,204,172,,1,5508,279,299,0
2025-06-05 01:56:00,203,184,,1,5554,287,308,0
2025-06-05 01:58:00,203,162,,1,5602,282,303,0
2025-06-05 02:00:00,203,165,752,1,5652,277,298,0
2025-06-05 02:02:00,203,165,,1,5702,285,305,0
2025-06-05 02:04:00,203,165,,1,5702,285,305,0
2025-06-05 02:06:00,203,165,,1,5702,285,305,0
2025-06-05 02:08:00,,,,,,,,
2025-06-05 02:10:00,,,,,,,,
2025-06-05 02:12:00,,,,,,,,
2025-06-05 02:14:00,,,,,,,,
2025-06-05 02:16:00,,,,,,,,
2025-06-05 02:18:00,,,,,,,,
2025-06-05 02:20:00,,,,,,,,
2025-06-05 02:22:00,,,,,,,,
2025-06-05 02:24:00,,,,,,,,
2025-06-05 02:26:00,,,,,,,,
2025-06-05 02:28:00,196,172,,1,5690,,,
2025-06-05 02:30:00,196,172,744,1,5690,,,
2025-06-05 02:32:00,,,,,,,,
2025-06-05 02:34:00,,,,,,,,
2025-06-05 02:36:00,,,,,,,,
2025-06-05 02:38:00,,,,,,,,
2025-06-05 02:40:00,,,,,,,,
2025-06-05 02:42:00,,,,,,,,
2025-06-05 02:44:00,,,,,,,,
2025-06-05 02:46:00,,,,,,,,
2025-06-05 02:48:00,200,184,,1,5711,276,296,0
2025-06-05 02:50:00,200,179,,1,5712,290,310,0
2025-06-05 02:52:00,200,179,,1,5712,290,310,0
2025-06-05 02:54:00,,,,,,,,
2025-06-05 02:56:00,,,,,,,,
2025-06-05 02:58:00,,,,,,,,
2025-06-05 03:00:00,,,,,,,,
2025-06-05 03:02:00,,,,,,,,
2025-06-05 03:04:00,,,,,,,,
2025-06-05 03:06:00,,,,,,,,
2025-06-05 03:08:00,,,,,,,,
2025-06-05 03:10:00,,,,,,,,
2025-06-05 03:12:00,,,,,,,,
2025-06-05 03:14:00,,,,,,,,
2025-06-05 03:16:00,,,,,,,,
2025-06-05 03:18:00,,,,,,,,
2025-06-05 03:20:00,,,,,,,,
2025-06-05 03:22:00,,,,,,,,
2025-06-05 03:24:00,,,,,,,,
2025-06-05 03:26:00,,,,,,,,
2025-06-05 03:28:00,,,,,,,,
2025-06-05 03:30:00,,,,,,,,
2025-06-05 03:32:00,,,,,,,,
2025-06-05 03:34:00,,,,,,,,
2025-06-05 03:36:00,,,,,,,,
2025-06-05 03:38:00,,,,,,,,
2025-06-05 03:40:00,,,,,,,,
2025-06-05 03:42:00,,,,,,,,
2025-06-05 03:44:00,,,,,,,,
2025-06-05 03:46:00,,,,,,,,
2025-06-05 03:48:00,,,,,,,,
2025-06-05 03:50:00,,,,,,,,
2025-06-05 03:52:00,,,,,,,,
2025-06-05 03:54:00,,,,,,,,
2025-06-05 03:56:00,,,,,,,,
2025-06-05 03:58:00,,,,,,,,
2025-06-05 04:00:00,,,,,,,,
2025-06-05 04:02:00,,,,,,,,
2025-06-05 04:04:00,,,,,,,,
2025-06-05 04:06:00,,,,,,,,
2025-06-05 04:08:00,,,,,,,,
2025-06-05 04:10:00,,,,,,,,
2025-06-05 04:12:00,,,,,,,,
2025-06-05 04:14:00,,,,,,,,
2025-06-05 04:16:00,,,,,,,,
2025-06-05 04:18:00,,,,,,,,
2025-06-05 04:20:00,,,,,,,,
2025-06-05 04:22:00,,,,,,,,
2025-06-05 04:24:00,,,,,,,,
2025-06-05 04:26:00,,,,,,,,
2025-06-05 04:28:00,,,,,,,,
2025-06-05 04:30:00,,,,,,,,
2025-06-05 04:32:00,,,,,,,,
2025-06-05 04:34:00,,,,,,,,
2025-06-05 04:36:00,,,,,,,,
2025-06-05 04:38:00,,,,,,,,
2025-06-05 04:40:00,,,,,,,,
2025-06-05 04:42:00,,,,,,,,
2025-06-05 04:44:00,,,,,,,,
2025-06-05 04:46:00,,,,,,,,
2025-06-05 04:48:00,,,,,,,,
2025-06-05 04:50:00,,,,,,,,
2025-06-05 04:52:00,,,,,,,,
2025-06-05 04:54:00,,,,,,,,
2025-06-05 04:56:00,,,,,,,,
2025-06-05 04:58:00,,,,,,,,
2025-06-05 05:00:00,,,,,,,,
2025-06-05 05:02:00,,,,,,,,
2025-06-05 05:04:00,,,,,,,,
2025-06-05 05:06:00,,,,,,,,
2025-06-05 05:08:00,,,,,,,,
2025-06-05 05:10:00,,,,,,,,
2025-06-05 05:12:00,,,,,,,,
2025-06-05 05:14:00,,,,,,,,
2025-06-05 05:16:00,,,,,,,,
2025-06-05 05:18:00,,,,,,,,
2025-06-05 05:20:00,,,,,,,,
2025-06-05 05:22:00,,,,,,,,
2025-06-05 05:24:00,,,,,,,,
2025-06-05 05:26:00,,,,,,,,
2025-06-05 05:28:00,,,,,,,,
